                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0571,                 4.0049,                 1.3163,                0.60749,                0.24032,                0.29949,                0.23484,                  1.052,                 2.7622,                 1.3704,              0.0033252,              0.0033252,              0.0033252
                      2,                 1.0925,                 2.6213,                 1.3145,                0.61926,                0.58532,                0.63718,                0.45567,                 1.1113,                 1.9139,                 1.3782,              0.0066365,              0.0066365,              0.0066365
                      3,                 1.1297,                 2.1713,                   1.32,                0.66802,                0.55207,                0.62657,                0.42795,                 1.2057,                 1.8659,                 1.4547,              0.0099259,              0.0099259,              0.0099259
                      4,                 1.1721,                 2.0402,                 1.3437,                0.70884,                0.68744,                0.73621,                0.52358,                 1.0906,                 1.3942,                 1.3321,               0.009901,               0.009901,               0.009901
                      5,                 1.1486,                 1.7962,                 1.3189,                0.75689,                0.72268,                0.78391,                0.57405,                 1.0992,                 1.3677,                 1.3448,               0.009901,               0.009901,               0.009901
                      6,                 1.1179,                 1.5793,                 1.2877,                 0.7556,                0.76934,                0.81138,                0.60161,                 1.0307,                 1.1175,                 1.2921,               0.009868,               0.009868,               0.009868
                      7,                 1.0974,                 1.4175,                  1.273,                0.77593,                0.75285,                0.82655,                  0.602,                 1.0101,                 1.1865,                 1.2573,               0.009835,               0.009835,               0.009835
                      8,                 1.0609,                 1.2645,                 1.2431,                0.74476,                0.84043,                0.86312,                0.66065,                0.99401,                 1.0315,                 1.2285,               0.009802,               0.009802,               0.009802
                      9,                 1.0494,                  1.215,                 1.2399,                0.83152,                0.77228,                 0.8535,                0.62608,                 1.0083,                 1.0427,                 1.2518,               0.009769,               0.009769,               0.009769
                     10,                 1.0257,                 1.1335,                 1.2197,                0.79381,                0.83731,                0.85849,                0.66426,                0.93086,                0.99682,                 1.1788,               0.009736,               0.009736,               0.009736
                     11,                 1.0162,                 1.1095,                 1.2222,                0.87238,                0.84106,                0.89754,                0.69741,                0.93989,                0.85411,                 1.1762,               0.009703,               0.009703,               0.009703
                     12,                   1.01,                 1.0753,                 1.2083,                0.85297,                0.83179,                0.89993,                0.68763,                0.94518,                0.89427,                 1.1763,                0.00967,                0.00967,                0.00967
                     13,                0.98975,                0.99809,                 1.1955,                0.85707,                0.84175,                0.90386,                 0.7095,                0.91388,                0.79115,                 1.1464,               0.009637,               0.009637,               0.009637
                     14,                0.98721,                0.99221,                 1.2011,                0.87635,                0.83981,                0.90053,                0.69896,                0.91727,                0.81787,                 1.1568,               0.009604,               0.009604,               0.009604
                     15,                0.97571,                 0.9576,                 1.1902,                0.87979,                0.84003,                0.91252,                0.71538,                0.91887,                0.78135,                 1.1509,               0.009571,               0.009571,               0.009571
                     16,                0.97236,                0.94076,                 1.1833,                0.87435,                0.81774,                0.90614,                 0.7124,                0.88671,                0.76547,                 1.1397,               0.009538,               0.009538,               0.009538
                     17,                0.97047,                0.92489,                 1.1852,                0.89013,                0.82408,                 0.9088,                0.71527,                0.89107,                0.75348,                 1.1203,               0.009505,               0.009505,               0.009505
                     18,                0.94396,                0.88321,                 1.1704,                0.89093,                0.83696,                0.91333,                0.73978,                0.87651,                0.74285,                  1.112,               0.009472,               0.009472,               0.009472
                     19,                0.94352,                0.87542,                  1.169,                0.85512,                0.85762,                0.91503,                0.72636,                0.87114,                0.72384,                  1.112,               0.009439,               0.009439,               0.009439
                     20,                0.93188,                0.86297,                 1.1671,                0.89028,                0.89484,                0.92568,                0.73168,                0.86339,                0.68916,                 1.1071,               0.009406,               0.009406,               0.009406
                     21,                0.92886,                 0.8526,                 1.1675,                 0.8518,                0.88693,                0.91597,                0.71547,                0.85101,                0.68577,                 1.1028,               0.009373,               0.009373,               0.009373
                     22,                0.92176,                0.81885,                 1.1558,                0.87576,                0.86431,                 0.9217,                0.73506,                0.86717,                0.64134,                 1.1061,                0.00934,                0.00934,                0.00934
                     23,                0.92149,                0.81719,                 1.1522,                0.87643,                 0.8919,                0.92735,                0.75116,                0.83903,                0.60676,                 1.0887,               0.009307,               0.009307,               0.009307
                     24,                 0.9039,                 0.8025,                 1.1479,                0.86804,                0.87305,                0.91348,                0.72275,                0.88655,                0.70982,                 1.1225,               0.009274,               0.009274,               0.009274
