                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8633,                 5.1209,                 3.6198,                 1.7728,                0.20949,                 0.1791,                0.10588,                0.05034,                0.14896,                0.14925,                0.07804,                0.02985,                 1.4647,                 3.9199,                 14.018,                 1.5784,                0.00012,                0.00012,                0.00012
                      2,                 1.3531,                 3.3579,                 2.5152,                 1.4287,                0.29223,                0.22388,                0.18325,                0.09761,                0.42725,                0.19403,                0.19817,                0.10017,                 1.4697,                 3.6584,                 6.0615,                 1.6047,             0.00025485,             0.00025485,             0.00025485
                      3,                 1.2345,                 2.6355,                 1.7441,                 1.3309,                0.60285,                0.55224,                0.61374,                0.35679,                0.56755,                0.52239,                 0.5223,                0.25259,                 1.3737,                 3.6078,                 4.4366,                 1.4055,             0.00038416,             0.00038416,             0.00038416
                      4,                  1.227,                 2.4353,                 1.4765,                  1.263,                0.45418,                0.64179,                0.57825,                 0.2984,                0.56449,                0.49254,                0.58864,                0.26499,                 1.3962,                 3.0566,                 3.5426,                 1.5507,             0.00050792,             0.00050792,             0.00050792
                      5,                 1.1989,                  2.286,                 1.4051,                 1.2554,                0.46299,                0.50746,                0.45695,                0.23628,                0.43855,                0.49254,                0.43818,                0.18424,                 1.4878,                   3.32,                 4.2658,                 1.8166,             0.00062614,             0.00062614,             0.00062614
                      6,                 1.2219,                 2.2305,                 1.4692,                 1.2881,                0.37483,                0.65672,                0.41894,                0.18528,                0.34076,                0.59701,                0.36257,                0.16215,                 1.7515,                   3.87,                 6.6522,                 2.3663,             0.00073882,             0.00073882,             0.00073882
                      7,                 1.3092,                 2.3199,                 1.5494,                 1.3391,                0.34508,                0.56716,                0.44922,                 0.1915,                0.32872,                0.53731,                0.45429,                0.17057,                 1.8718,                 5.6731,                 6.7401,                 2.4762,             0.00084595,             0.00084595,             0.00084595
                      8,                 1.2587,                 2.3584,                 1.3734,                 1.3178,                0.21024,                0.62687,                0.23866,                0.11238,                0.33333,                0.20896,                 0.1672,                0.06862,                 1.7437,                 7.9553,                 10.791,                 2.1961,             0.00094754,             0.00094754,             0.00094754
                      9,                 1.2975,                 2.2434,                 1.3195,                 1.3368,                0.29778,                0.46269,                0.26909,                0.12173,                0.25243,                0.38806,                0.19589,                0.06412,                 1.9181,                 5.4514,                 6.3217,                 2.7495,              0.0010436,              0.0010436,              0.0010436
                     10,                 1.2223,                 2.2166,                  1.203,                 1.2756,                0.43514,                0.58209,                0.48219,                0.21104,                0.39827,                0.55224,                0.44029,                0.18249,                 1.6537,                 4.0178,                 5.3588,                 1.9543,              0.0011341,              0.0011341,              0.0011341
                     11,                 1.1997,                 2.1365,                 1.2023,                 1.2648,                0.42434,                0.58209,                0.49454,                0.22016,                0.43522,                0.59701,                0.45004,                0.18158,                 1.6855,                 4.6175,                 4.7594,                 2.1046,               0.001219,               0.001219,               0.001219
                     12,                   1.26,                 2.3075,                 1.3602,                 1.3246,                0.40964,                0.56716,                 0.4627,                 0.2526,                0.41754,                0.55224,                0.46066,                0.23965,                 1.8133,                 4.4948,                 5.7554,                 2.1656,              0.0012985,              0.0012985,              0.0012985
                     13,                 1.2391,                 2.3024,                  1.268,                 1.3161,                0.56553,                0.52239,                0.50351,                0.29532,                0.56331,                0.52239,                0.49319,                0.25207,                 1.6156,                 4.0293,                  4.228,                 1.8809,              0.0013723,              0.0013723,              0.0013723
                     14,                 1.2718,                 2.3086,                 1.2815,                 1.2935,                0.60002,                0.61194,                0.62656,                0.33707,                0.60164,                0.60867,                0.62504,                0.31069,                 1.6588,                 3.4838,                 3.0453,                 1.9967,              0.0014406,              0.0014406,              0.0014406
                     15,                 1.2093,                 2.1389,                 1.2137,                 1.2889,                0.35877,                0.53731,                0.30583,                0.15581,                0.35149,                0.57439,                0.31355,                0.14054,                 1.8489,                 6.1423,                 5.7525,                 2.0223,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.2636,                 2.2292,                 1.1928,                 1.3151,                0.29134,                0.53731,                0.30787,                0.11892,                0.30784,                0.56716,                0.31689,                0.12094,                 2.2898,                  4.616,                 2.9097,                 2.6039,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.3337,                 2.1518,                 1.2586,                 1.3638,                0.41289,                0.37313,                0.30348,                0.10063,                 0.4297,                0.38806,                 0.3089,                0.13161,                 2.4255,                 6.0072,                 2.8223,                 2.6017,               0.001406,               0.001406,               0.001406
                     18,                 1.2144,                 2.1418,                 1.2029,                 1.3223,                0.53048,                0.41791,                0.37605,                0.17591,                0.52097,                0.38806,                0.35035,                0.15898,                 1.6623,                 4.6486,                 3.1878,                  1.774,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.1396,                 2.0355,                  1.171,                  1.239,                 0.5789,                0.53731,                0.55336,                0.27703,                0.63906,                0.60786,                0.57118,                0.27119,                   1.75,                 3.0524,                 3.4792,                 1.9327,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.1686,                 1.9592,                 1.0975,                 1.2123,                0.52386,                0.56716,                0.52968,                0.24239,                0.46309,                0.56716,                0.48261,                0.20003,                 1.8366,                  3.343,                  3.275,                 2.0192,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.1625,                 2.0203,                 1.0661,                 1.2508,                0.41052,                0.64179,                0.47278,                0.20473,                0.41605,                0.55224,                0.42361,                0.17093,                 1.9653,                 3.2579,                 2.3939,                 2.0936,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.1524,                 2.0139,                 1.0725,                 1.2304,                0.55078,                0.74627,                0.57417,                0.24189,                0.51834,                0.71642,                0.55889,                0.23596,                   1.95,                 3.3412,                 2.2664,                 2.0268,               0.001208,               0.001208,               0.001208
                     23,                 1.1091,                 2.0611,                 1.0713,                 1.2245,                0.62767,                 0.6794,                0.66634,                0.34616,                0.62767,                 0.6794,                0.66818,                0.32839,                  1.733,                 3.3693,                 1.7604,                  1.858,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.1258,                 2.0076,                 1.0514,                 1.1965,                0.71863,                0.64179,                0.66171,                0.36304,                0.73807,                0.65672,                0.70002,                0.34049,                 1.6836,                 3.4326,                 1.3769,                 1.9205,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.1276,                 2.0477,                 1.0277,                 1.2134,                0.65619,                0.58209,                0.65022,                0.33922,                0.56421,                  0.715,                0.67234,                0.30981,                 1.6012,                 3.2204,                 1.4872,                 1.8028,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.1015,                 1.9568,                0.96545,                 1.1993,                0.77085,                0.50746,                0.62069,                 0.3384,                0.76012,                0.50746,                0.63018,                0.29882,                 1.5732,                 3.3082,                 1.5891,                 1.7056,              0.0010496,              0.0010496,              0.0010496
                     27,                  1.121,                 1.9245,                 1.0188,                 1.2208,                0.69501,                0.53731,                0.61538,                0.34308,                0.67324,                0.52239,                0.57951,                0.32544,                 1.6038,                 3.2508,                 1.6196,                 1.6725,                0.00101,                0.00101,                0.00101
                     28,                 1.0709,                  1.895,                0.97049,                 1.1977,                0.74684,                0.52239,                0.63517,                0.35634,                0.76959,                0.54842,                0.63732,                 0.3162,                 1.5501,                 3.0955,                 1.7218,                 1.6659,              0.0009704,              0.0009704,              0.0009704
                     29,                0.94898,                  1.801,                0.84999,                 1.1223,                0.59982,                0.62641,                0.64178,                0.34937,                 0.7115,                0.55214,                0.64193,                 0.3217,                 1.5298,                 2.9281,                 1.7661,                 1.6018,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.0131,                 1.8415,                0.88246,                 1.1666,                0.68162,                0.68657,                0.72233,                0.37593,                0.66592,                0.67164,                0.68457,                0.34015,                  1.564,                 2.8602,                 1.4936,                 1.6323,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.0467,                 1.8762,                0.88968,                 1.1713,                0.68925,                0.62903,                0.66484,                0.35858,                0.72196,                0.65888,                 0.6885,                0.34074,                 1.4961,                 2.7074,                 1.5722,                 1.6188,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.1021,                 1.9848,                0.94376,                 1.2274,                0.65302,                0.61802,                0.61838,                0.33456,                0.68456,                0.64787,                0.65183,                0.31369,                 1.5091,                 2.6616,                 1.6238,                 1.5991,               0.000812,               0.000812,               0.000812
                     33,                 1.0628,                 1.8918,                0.89646,                 1.1811,                 0.7991,                0.59371,                0.73906,                0.41742,                0.81904,                0.60804,                0.74867,                0.35976,                 1.4834,                 2.6456,                 1.3615,                 1.5379,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.0433,                  1.874,                0.88886,                 1.1762,                0.79062,                0.67164,                0.75948,                0.43964,                0.79062,                0.67164,                0.75103,                0.39543,                 1.5196,                 2.4783,                 1.2111,                 1.5235,              0.0007328,              0.0007328,              0.0007328
